tconst	averageRating	numVotes
tt0000516	6.5	1220
tt0000519	5.6	462
tt0000520	6.1	75
tt0000521	5.5	381
tt0000522	2.8	19
tt0000524	5.8	871
tt0000525	5.2	60
tt0000526	4.0	74
tt0000528	5.4	20
tt0000533	4.5	51
tt0000534	6.6	1393
tt0000535	4.9	82
tt0000537	4.3	103
tt0000543	4.3	21
tt0000544	5.0	12
tt0000546	6.7	2103
tt0000548	4.4	10
tt0000550	3.2	16
tt0000552	5.6	82
tt0000553	6.5	592
tt0000554	6.2	1603
tt0000555	4.9	28
tt0000557	4.6	155
tt0000561	4.9	77
tt0000565	6.2	725
tt0000567	6.8	1519
tt0000570	3.8	64
tt0000571	6.7	76
tt0000574	6.0	1011
tt0000575	5.7	628
tt0000576	6.0	264
tt0000578	7.2	30
tt0000580	3.8	9
tt0000581	4.2	14
tt0000582	4.7	823
tt0000583	5.2	63
tt0000584	5.0	100
tt0000586	5.8	28
tt0000588	4.5	15
tt0000591	5.3	34
tt0000594	5.3	24
tt0000595	5.1	21
tt0000596	5.1	28
tt0000597	5.0	86
tt0000598	5.3	41
tt0000599	3.9	17
tt0000601	5.8	16
tt0000602	4.1	278
tt0000606	7.4	19
tt0000608	5.8	28
tt0000609	4.8	23
tt0000610	4.9	25
tt0000611	4.8	24
tt0000613	4.2	15
tt0000614	6.5	1320
tt0000615	4.0	30
tt0000617	4.9	47
tt0000618	7.7	19
tt0000621	6.5	669
tt0000623	4.3	12
tt0000627	5.9	65
tt0000628	5.7	1004
tt0000629	5.9	86
tt0000630	3.0	34
tt0000631	2.0	12
tt0000632	4.8	72
tt0000634	4.0	31
tt0000636	4.4	22
tt0000637	5.4	851
tt0000638	5.0	95
tt0000639	4.9	106
tt0000640	4.3	165
tt0000641	4.6	199
tt0000642	5.5	71
tt0000643	6.0	22
tt0000644	5.5	65
tt0000645	5.0	204
tt0000648	4.6	194
tt0000650	7.8	25
tt0000651	4.8	89
tt0000653	4.5	249
tt0000654	4.8	136
tt0000658	6.4	325
tt0000659	4.7	89
tt0000660	5.7	63
tt0000661	7.8	25
tt0000662	4.1	75
tt0000663	5.7	63
tt0000665	6.0	65
tt0000666	5.4	34
tt0000668	6.7	64
tt0000669	4.9	178
tt0000671	5.8	18
tt0000672	6.6	48
tt0000673	5.4	20
tt0000674	4.6	62
tt0000675	3.9	24
tt0000676	3.6	19
tt0000677	6.3	24
tt0000679	5.0	80
tt0000680	5.5	55
tt0000681	5.7	45
tt0000682	6.9	3122
tt0000683	5.5	104
tt0000684	4.9	152
tt0000685	5.9	50
tt0000689	6.4	60
tt0000690	6.5	47
tt0000692	5.0	9
tt0000694	5.8	56
tt0000695	6.0	58
tt0000697	4.9	34
tt0000698	6.1	29
tt0000699	6.4	28
